麦当劳(上海青浦国展1店),崧泽大道333号,0.0,28,38,1,3, 7.6, 7.8, 7.6, 27 
麦当劳(新华联店),淮海中路777号,1.0,225,343,116,89, 7.3, 7.2, 7.0, 31 
麦当劳(浦江满天星店),浦航路211号,1.0,73,87,6,11, 8.0, 8.0, 7.9, 27 
麦当劳(雅居乐国际广场店),西藏中路525号雅居乐国际广场1层,0.0,426,444,125,70, 7.6, 7.8, 7.5, 31 
麦当劳(奉贤店),南桥镇人民路188号,1.0,34,91,25,15, 7.3, 7.2, 7.0, 26 
麦当劳(古北1699店),古北路1699号古北1699广场B2层,0.0,29,33,6,4, - <, - <, - <, 22 
麦当劳(东方路店),潍坊路162号,1.0,183,314,100,49, 7.6, 7.7, 7.6, 26 
麦当劳(新邻生活广场店),陆家浜路1100号新邻生活广场1层,1.0,199,223,68,51, 7.8, 7.6, 7.6, 26 
麦当劳(越洋广场店),南京西路1601号越洋广场B2层,1.0,234,307,133,80, 7.6, 7.4, 7.3, 25 
麦当劳麦咖啡(百联徐汇商业广场店),华山路2038号百联徐汇商业广场1层,1.0,23,28,5,3, 7.8, 7.7, 7.7,-
麦当劳(长桥好有多店),老沪闵路809号,1.0,170,251,98,48, 7.6, 7.3, 7.3, 26 
麦当劳(乳山路店),乳山路135号,1.0,185,228,75,43, 7.4, 7.3, 7.3, 27 
麦当劳(浦三路店),浦三路41号,1.0,33,65,7,3, 7.8, 8.1, 8.2, 25 
麦当劳(金平路站店),东川路2376号104室,1.0,99,181,37,44, 7.9, 7.8, 7.6, 36 
麦当劳(缤纷广场店),绿地张江缤纷广场2楼,0.0,19,32,3,2, 7.6, 7.8, 7.8, 31 
麦当劳(宝山店),友谊路158号,0.0,120,157,15,31, 8.2, 8.1, 8.0, 24 
麦当劳(1788国际中心店),南京西路1788号1788国际中心B1层,0.0,57,61,11,10, 7.5, 7.4, 7.5, 32 
麦当劳(龙阳路店),龙阳路2100号,1.0,281,489,199,91, 7.3, 7.3, 7.2, 26 
麦当劳(食品一店店),南京东路720号2楼,0.0,456,509,121,68, 7.5, 7.2, 7.1, 27 
麦当劳(松江平高MTR店),九峰路118号一层1-1及2层2-1商铺,1.0,41,55,5,6, 8.2, 8.4, 8.1, 26 
麦当劳(锦绣路DT店),锦延路329号,1.0,120,187,24,26, 7.8, 8.0, 7.8, 30 
麦当劳(豫园2#餐厅),旧校场路155号(近方浜中路,1.0,158,189,83,70, 7.5, 7.1, 7.2, 32 
麦当劳(星游城店),万体馆斜土路星游城580号F1--17,1.0,117,167,14,10, 8.2, 8.3, 8.0, 34 
麦当劳(中山公园地铁站店),中山公园站8号出入口西北侧,0.0,324,300,108,78, 7.5, 7.5, 7.4, 19 
麦当劳(瞿溪路店),瞿溪路691号,1.0,153,223,65,54, 7.7, 7.7, 7.7, 29 
麦当劳(同济联合广场店),四平路1388-1398号同济联合广场1层,1.0,115,159,17,5, 8.4, 8.4, 8.4, 24 
麦当劳(中信泰富广场店),南京西路1168号中信泰富广场B1层,1.0,250,352,157,100, 7.3, 7.4, 7.1, 27 
麦当劳(祖冲之路店),祖冲之路2305号天之骄子生活新天地1层,1.0,102,150,28,37, 7.6, 7.6, 7.4, 28 
麦当劳(宝地广场店),昆明路555号宝地广场C座1层,1.0,221,293,86,96, 7.6, 7.8, 7.5, 27 
麦当劳(百盛莘庄店),莘庄都市路5001号百盛购物中心B1层,1.0,150,241,127,47, 7.3, 7.2, 7.0, 21 
麦当劳(龙之梦长宁店),长宁路1018号龙之梦购物中心B2层,0.0,313,466,320,124, 7.1, 6.8, 6.8, 22 
麦当劳(悦达889店),万航渡路889号悦达889广场B1层,1.0,272,349,103,62, 7.6, 7.4, 7.5, 24 
麦当劳(环贸iapm商场店),淮海中路999号环贸iapm商场LG2层,0.0,295,399,104,72, 7.8, 7.7, 7.4, 30 
麦当劳(上海漕盈路DT店),淀山湖大道漕盈路西南角,1.0,12,22,1,0, 7.7, 7.8, 7.8, 26 
麦当劳(银春路华宁路店),银春路2116号一层01室和二层01室,1.0,38,40,4,6, 7.7, 7.7, 7.8, 28 
麦当劳(四平路店),溧阳路1088号,1.0,193,308,115,65, 7.4, 7.4, 7.2, 27 
麦当劳(国定路三号湾),国定路319号,1.0,204,245,28,42, 7.9, 8.0, 7.6, 33 
麦当劳(汉中路店),恒丰路299号101室,1.0,261,314,88,60, 7.6, 7.6, 7.5, 22 
麦当劳(绿地周浦店),年家浜东路238号,1.0,44,57,5,4, 8.2, 8.4, 8.2, 39 
麦当劳(万达店),邯郸路600号万达商业广场B1楼A05号铺,0.0,433,728,222,108, 8.1, 8.0, 8.1, 28 
麦当劳(刘行龙湖天街店),丹霞山路1号1层0607A室,1.0,76,84,9,11, 7.5, 7.5, 7.5, 25 
麦当劳(闵行六亿伴店),江川东路1050号,1.0,81,114,50,24, 7.5, 7.5, 7.3, 23 
麦当劳(武宁南路店),武宁南路488号,1.0,115,144,29,15, 8.0, 8.1, 7.8, 22 
麦当劳(川沙店),新川路400号,1.0,86,121,23,25, 7.9, 8.0, 7.8, 29 
麦当劳(七宝店),七莘路3049号,1.0,130,176,45,44, 7.4, 7.8, 7.6, 31 
麦当劳(嘉定店),博乐路190号,0.0,126,196,39,32, 7.7, 7.8, 7.5, 30 
麦当劳(松江开元地中海店),新松江路927弄二层2001A室,1.0,119,170,41,31, 8.0, 8.0, 7.9, 28 
麦当劳(罗宾森购物中心店),城中路138号罗宾森购物中心1层,1.0,90,98,8,7, 8.1, 8.2, 7.9, 29 
麦当劳(新桥明中广场),新桥镇明中路1885号一层1-23室,1.0,6,9,0,2, 7.2, 7.3, 7.0,-
麦当劳(顾戴路万源城店),万源路550号旁,1.0,95,128,42,51, 7.4, 7.5, 7.3, 29 
麦当劳(合川路),合川路2570号102-104商铺,1.0,83,129,16,13, 8.0, 8.1, 8.0, 21 
麦当劳(万科海上传奇店),御桥路1949号万科海上传奇1层,1.0,71,129,12,28, 7.5, 7.7, 7.3, 30 
麦当劳(丽宝商业广场店),莘松路58号东苑丽宝广场4号楼2层,1.0,118,145,19,19, 7.8, 7.8, 7.6, 28 
麦当劳(外高桥DT店),浦东台北西路200号,1.0,103,220,56,42, 7.4, 7.3, 7.3, 27 
麦当劳(橘子酒店店),中山北路311号101室A区和201室A区,1.0,177,234,51,70, 7.5, 7.5, 7.3, 24 
麦当劳(隆昌路华联超市店),隆昌路609号2幢一层1室,1.0,167,231,34,44, 8.0, 8.2, 8.1, 26 
麦当劳(建发大厦店),杨树浦路298-306号,1.0,74,106,5,12, 8.4, 8.4, 8.1, 25 
麦当劳(绿地东海岸得来速店),川沙路5558号绿地东海岸国际广场6-7号楼1层102，103室,1.0,69,134,26,28, 7.4, 7.4, 7.2, 31 
麦当劳(浦东机场大洋洲街店),浦东机场交通中心地铁二号线西侧廊道A标段02号商铺,0.0,33,46,8,3, 7.6, 7.6, 7.5, 36 
麦当劳(亚新生活广场店),长寿路393号,1.0,322,388,170,130, 7.6, 7.5, 7.4, 27 
麦当劳(万达广场周浦店),年家浜路437号（近沪南公路）万达广场（周浦店）2楼,0.0,175,275,67,34, 7.9, 7.9, 7.6, 36 
麦当劳(中江路店),中江路889号,0.0,44,51,1,4, 8.3, 8.4, 8.3, 20 
麦当劳(浦东好又多店),齐河路258号,1.0,166,279,102,69, 7.4, 7.3, 7.2, 26 
麦当劳(虹桥良华购物广场店),申滨路990号虹桥良华购物广场1层,1.0,94,149,28,69, 7.4, 7.5, 7.3, 29 
麦当劳(莘松路芭比伦DT店),莘松路1028号,1.0,57,128,35,38, 7.4, 7.7, 7.4, 25 
麦当劳(柳州路店),柳州路99号,1.0,142,176,32,35, 7.8, 7.8, 7.5, 30 
麦当劳(上海昌里路浦东商场店),昌里路333号,1.0,229,298,132,78, 7.2, 7.3, 7.1, 28 
麦当劳(上海中海万锦城店),大统路679-695号,1.0,109,146,38,32, 7.7, 7.3, 7.6, 32 
麦当劳(北蔡店),沪南路999号,1.0,88,194,77,51, 7.6, 7.5, 7.4, 26 
麦当劳(T1航站楼一店),浦东国际机场T1航站楼禁区外到达1层,0.0,111,128,30,15, 7.7, 7.7, 7.5, 34 
麦当劳(联洋店),芳甸路185号,1.0,72,95,44,46, 7.1, 7.0, 7.1, 28 
麦当劳(古北店),水城南路258号,1.0,168,250,57,55, 7.7, 7.8, 7.4, 26 
麦当劳(金桥店),张杨路3611号金桥国际商业广场8座1层107号,1.0,256,483,143,47, 7.6, 7.6, 7.5, 32 
麦当劳(祁连山路店),聚丰园路205号,1.0,110,176,74,49, 7.7, 7.4, 7.6, 32 
麦当劳(新淮海坊店),淮海西路680号新淮海坊2层,1.0,197,263,57,81, 7.9, 8.0, 7.7, 26 
麦当劳(曹杨路轻轨店),轻轨3号线曹阳路站,0.0,260,381,196,97, 7.5, 7.2, 7.2, 26 
麦当劳(殷高西路店),殷高西路538号,1.0,138,204,62,47, 7.6, 7.5, 7.4, 22 
麦当劳(夏碧路店),夏碧路118号番喜町美食广场1层,1.0,70,100,17,19, 7.9, 7.7, 7.6, 28 
麦当劳(唐镇阳光城店),高科东路777号L1-24,1.0,44,46,8,6, 7.9, 8.0, 7.5, 29 
麦当劳(光新路乐购店),中山北路1855号,1.0,221,375,123,70, 7.8, 7.5, 7.4, 28 
麦当劳(桂箐路店),桂箐路65号,0.0,42,54,8,2, 7.7, 7.8, 7.9, 30 
