德克士(国家会展中心店),盈港东路158号国家会展中心商业广场D-L105,0.0,29,52,14,8, 6.7, 6.7, 6.5, 39 
德克士(北石路店),大渡河路1550弄122号用鑫生活广场,1.0,114,181,32,13, 7.7, 8.0, 7.9, 25 
德克士(徐径店),京华路46号,0.0,0,0,0,0, - <, - <, - <,-
德克士(徐泾店),沪青平公路1899号食尚天地A区A103-2,1.0,73,87,8,3, 8.3, 8.4, 8.1, 30 
德克士(宝山万达店),一二八纪念路931号万达广场第一食品内,1.0,24,24,12,18, 7.1, 7.0, 7.0, 31 
德克士(纪王店),纪翟路2762号品尚生活广场2号楼,1.0,50,105,14,15, 7.3, 7.3, 7.2, 32 
德克士(古楼路餐厅),泗泾镇古楼公路1886号一楼,1.0,66,90,19,27, 7.2, 7.1, 6.9, 34 
德克士(朱家角店),祥凝浜路528号,1.0,120,217,19,10, 8.2, 8.2, 8.1, 31 
德克士(重固餐厅),重固镇赵重公路255号吉买盛超市1楼,1.0,24,232,30,15, 7.4, 7.5, 7.3, 35 
德克士,方泰镇方锦路58号,0.0,0,0,0,0, - <, - <, - <,-
德克士(万辉店),罗锦路28号,1.0,56,70,19,18, 7.4, 7.6, 7.1, 29 
德克士(徐泾食尚天地店),繁兴路40号,0.0,0,1,0,0, 7.3, 7.3, 7.3,-
德克士(白银路店),白银路1290号,1.0,51,84,12,11, 7.5, 7.6, 7.5, 20 
德克士(罗店宝龙店),杨南路2211号宝龙广场1楼,1.0,75,231,32,36, 7.2, 7.3, 7.2, 42 
德克士(通河路店),通河路541-1号红太阳商业广场1楼,1.0,128,565,93,61, 7.4, 7.4, 7.4, 34 
德克士(虹桥申长店),申长路988弄LG2,1.0,3,5,2,0, 7.0, 7.3, 7.0,-
德克士(金运路店),金运路355号华泰商务中心102,1.0,61,64,13,29, 6.7, 6.9, 6.4, 32 
德克士(沪松公路店),盈港东路158号钻石商务中心T209-210康师傅大牌饭,0.0,1,1,0,0, 7.0, 7.2, 7.2, 30 
德克士(虹桥高铁2店),虹桥火车站站内B1层,0.0,43,38,3,15, 6.5, 6.5, 6.2, 38 
德克士(友谊西路店),蕰川公路1999号亿博广场一楼,1.0,100,187,37,54, 6.9, 7.2, 6.7, 31 
德克士(龙柏店),吴中路1688号品味食堂B-1,0.0,1,6,0,0, 7.5, 7.2, 7.5,-
德克士(虹桥会展店),盈港东路158号虹桥会展商业中心D-L105铺位,0.0,0,0,0,0, - <, - <, - <,-
德克士(虹桥火车站店),申贵路虹桥火车站B1层B1-北7号,0.0,88,100,21,31, 7.0, 6.8, 7.0, 36 
德克士(场北商业广场店),场北路704号场北商业广场1层,1.0,43,70,18,25, 6.6, 6.8, 6.4, 35 
德克士(未来店),吴中路1666号一楼03、04室,1.0,135,130,24,24, 7.2, 7.9, 7.1, 32 
