想吃德克士吃到饱,1539841010.0,1157.0,0.0,保密,IDOLONE,3.0,0.0
哭唧唧我们这边没有德克士我也想吃手枪腿！,1539839658.0,1155.0,1.0,女,粉狐狸大帅比,4.0,1.0
德克士的咖喱饭是真的好吃,1539837838.0,1131.0,1.0,保密,权清大佐,3.0,0.0
为什么我就是没有看见大家吃德克士的辣椒粉呢Σ( ￣□￣||)&lt;,1539837389.0,1128.0,0.0,保密,youklx,4.0,0.0
我这没德克士,1539837133.0,1124.0,0.0,女,肥嘟嘟左卫门pp,2.0,0.0
真好，我们这儿没有德克士,1539836781.0,1115.0,0.0,保密,柿子饼wd,4.0,0.0
昨晚上也吃了德克士,1539836449.0,1114.0,0.0,保密,初霁Cloud,4.0,0.0
😏刚好我们这边前不久新开了一家德克士,1539836384.0,1111.0,0.0,保密,橘子扛刺猬,4.0,0.0
(^ρ^)好久没去德克士了，，，(ﾟДﾟ≡ﾟдﾟ)!?不，我好久都没出校门了，吃毛线德克士（/TДT)/,1539835962.0,1105.0,1.0,女,爱吃柚子茶的喵,3.0,0.0
中午想吃德克士了,1539827854.0,1056.0,0.0,保密,芥子萌萌哒,5.0,0.0
喜欢吃，但是我比较喜欢吃脆皮炸鸡一些，手枪腿感觉扎的没那么好，纳闷，德克士点脆皮炸鸡的时候除了腿和鸡胸，还有什么位置可以选择啊,1539823446.0,1038.0,0.0,保密,梦里儿Oo,3.0,0.0
希望能抽中，给我一个机会品尝德克士鸡腿的机会,1539823413.0,1037.0,0.0,保密,holly02313,4.0,0.0
对德克士爱不起来……,1539821830.0,1030.0,1.0,女,噼里啪啦小涔涔,5.0,0.0
100我会选择KFC的全家桶，比德克士的好吃。一般点德克士是因为外卖有满减，减一半，还算便宜。,1539821270.0,1025.0,0.0,男,风舞玉绫,4.0,0.0
我敢，但我这里的德克士早就倒闭了,1539820669.0,1024.0,0.0,保密,昔有嘉颜,4.0,0.0
想吃德克士ｸﾞｯ!(๑•̀ㅂ•́)و✧,1539801845.0,987.0,0.0,保密,上海老克勒,4.0,0.0
脆皮手枪鸡腿，真的做到多汁！！！让我从此对德克士改观的神器啊！！！,1539799405.0,979.0,2.0,保密,leeshiey,4.0,1.0
打开饿了me，搜索德，显示: 有5家德克士超出配送范围，真好,1539798087.0,970.0,2.0,保密,巧巧樂滋,4.0,0.0
为撒子我点的德克士外卖，送过来已经焖软了，不开森( ´_ゝ｀),1539797863.0,966.0,1.0,保密,BILI95,4.0,0.0
德克士辣椒包撒在鸡腿上也超好吃,1539796822.0,953.0,0.0,女,暴躁的椒盐汤圆,5.0,0.0
家这里没有德克士！贼想吃,1539794844.0,930.0,0.0,保密,西尤大饼,4.0,0.0
我打算明天搭三个小时的车去吃德克士 呜呜呜😭我这里没有 我要去另一个城市吃,1539794705.0,927.0,2.0,保密,蛋挞挞挞挞挞挞挞挞,5.0,0.0
今天中午刚吃了德克士虾堡和手枪腿哈哈哈哈哈,1539793926.0,912.0,0.0,女,domestication,4.0,0.0
我我我搏一搏想吃德克士很久了,1539793499.0,899.0,0.0,女,待灵君临天下,4.0,0.0
好想吃啊可惜我们这没有德克士,1539793474.0,898.0,0.0,保密,夏啦啦啦1998,3.0,0.0
今晚差点要点这个 德克士手枪腿 最后放弃了,1539791741.0,830.0,0.0,保密,加内特914,5.0,0.0
德克士最爱一直是照烧饭手枪腿魔法鸡块！无敌好吃！,1539791713.0,828.0,0.0,女,汽、欧皇苹果塔、水,5.0,0.0
德克士只吃过饭团,1539791522.0,817.0,1.0,男,四爷就是这样的汉子,3.0,0.0
家附近没有德克士的宝宝哭了哦，最近的公交车半小时。我哭了，你们呢？,1539791159.0,791.0,0.0,保密,麦田橙子,5.0,0.0
kfc的炸鸡在德克士面前就是弟弟,1539790868.0,776.0,2.0,男,盖起铺盖闻脚臭,4.0,0.0
我也想吃德克士，可惜我这面只有华莱士,1539790689.0,767.0,0.0,女,王家刻薄,4.0,0.0
诶.........我还以为德克士哪都有......因为连我们这种小地方都有，然而看弹幕感觉好多人都没吃过的样子(ﾟДﾟ≡ﾟдﾟ)!?,1539790370.0,747.0,0.0,女,尼奥zi,5.0,4.0
明天德克士卡友日加一块钱单品买一送一，阿尤我可以给你省一半的钱(=・ω・=),1539789988.0,726.0,0.0,保密,俗不可奈不可开蕉,5.0,0.0
我家这德克士手枪腿22一个，物价比上海便宜不少(｀・ω・´),1539789647.0,707.0,0.0,女,璇蕊bilibili,4.0,1.0
德克士只有手枪腿好吃，其他东西真的不太好吃[小电视_发愁],1539789372.0,691.0,0.0,女,改个啥子,5.0,2.0
我敢，可以我这没德克士,1539789171.0,681.0,1.0,保密,拾忆lll,3.0,0.0
