'name', 'addr', '外卖', '图片', '好评', '中评', '差评', '口味', '环境', '服务', 'price'
肯德基(中兴店),秣陵路303号新客站北广场站屋一层,0.0,42.0,35.0,11.0,7.0,7.2,7.1,7.2, 32 
肯德基(金矿镇店),上海华侨城投资发展有限公司园区内阳光港商业街,0.0,36.0,69.0,33.0,9.0,7.4,7.2,7.4, 33 
肯德基(万象城店),吴中路1799号LG175b号商铺,0.0,67.0,76.0,10.0,9.0,7.8,7.8,7.8, 20 
肯德基(金沙江店),金沙江路1685号,1.0,127.0,159.0,73.0,44.0,7.7,7.5,7.3, 27 
肯德基(长江南店),长江南路5号,1.0,88.0,185.0,81.0,56.0,7.4,7.5,7.3, 22 
肯德基(哈密店),仙霞西路88号,1.0,112.0,160.0,60.0,35.0,7.5,7.4,7.3, 24 
肯德基(大宁国际店),闸北区共和新路1898号,1.0,176.0,305.0,183.0,73.0,7.2,7.2,7.0, 27 
肯德基(宝山万达店),高镜镇0006街坊2-1丘,0.0,154.0,220.0,71.0,33.0,8.1,8.0,7.9, 36 
肯德基(绅富店),"公园东路1289弄121,122,123,259,260号",1.0,28.0,51.0,11.0,9.0,7.8,7.7,7.7, 61 
肯德基(高铁精选3店),铁路上海虹桥站到达层商铺号，B1-北13,0.0,34.0,39.0,5.0,4.0,7.3,7.2,7.3, 41 
肯德基(保乐店),闵行华漕镇繁兴路399弄2号,1.0,52.0,114.0,34.0,19.0,7.6,7.5,7.5, 24 
肯德基(共和店),共和新路3318号,1.0,134.0,202.0,56.0,32.0,7.6,7.6,7.4, 29 
肯德基(中环店),真光路1288号百联中环购物广场A区1层,1.0,110.0,155.0,79.0,42.0,7.3,7.2,7.1, 34 
肯德基(宝山龙湖店),丹霞山路50弄1号宝山天街一层,1.0,16.0,17.0,2.0,2.0,7.7,7.6,7.6, 30 
肯德基(逸仙店),逸仙路580号,1.0,152.0,230.0,89.0,40.0,7.6,7.4,7.3, 30 
肯德基(宝翔店),丰翔路3168号,1.0,49.0,86.0,28.0,22.0,7.4,7.7,7.6, 25 
肯德基(大华店),华灵路1051号,1.0,113.0,215.0,66.0,29.0,7.9,7.7,7.8, 32 
肯德基(协信星光广场店),江场路1228弄协信星光广场北里地面1楼中庭,0.0,15.0,20.0,1.0,2.0,7.7,7.4,7.5, 35 
肯德基(嘉松店),沪青平公路2888号百联奥特莱斯C区2层213号,0.0,43.0,61.0,28.0,11.0,7.4,7.3,7.4, 38 
肯德基(爱琴海店),虹井路120弄6号B1层,0.0,16.0,15.0,4.0,2.0,7.2,7.0,7.0, 33 
肯德基(宝宸店),长江西路2211号1层1FA-03号商铺,1.0,121.0,168.0,73.0,38.0,7.5,7.7,7.5, 27 
肯德基(莘建店),水清南路20号,1.0,93.0,152.0,46.0,42.0,7.4,7.4,7.1, 28 
肯德基(光大店),漕宝路78号,1.0,95.0,129.0,56.0,18.0,7.5,7.1,7.5, 34 
肯德基(九亭店),九亭镇九亭大街370号,1.0,54.0,170.0,42.0,23.0,7.4,7.5,7.4, 40 
肯德基,浦东国际机场T1航站楼禁区外出发3层,0.0,4.0,7.0,0.0,0.0,7.5,7.2,7.5,-
肯德基(机场店),虹桥路2550号虹桥机场内,0.0,44.0,81.0,83.0,26.0,7.0,6.8,6.8, 39 
